,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
40,117-Ar-2,P.Fouad 15 (cf. BASP 30 [1993] 41),"Arsinoe, 119",Name lost,['Name lost'],['117-Ar-2-d1'],"['(1) Heron s. Diodoros (s. Ptolemaios) and Thaisarion, idiotes, 32', '(2) NN s. Diodoros (s. Ptolemaios) and Thaisarion, brother of Heron [no. 1], 31 (?)', '(3) Thaisas d. NN and NN, wife of NN [no.2], 28', '(4) Dionysios (s. NN [no.2] and Thaisas [no.3]), 2', '(5) NN (d. NN [no.2] and Thaisas [no.3]), 13', '(6) Isis (d. NN [no.2] and Thaisas [no.3]), 13']",[],[],,"Cairo, Societe Egyptienne, inv. 37 recto; photograph.","Broken at top, with loss of address; at left to a varying degree; and at bottom with trivial loss. Declarant registers renters of a house belonging to him/her."
41,117 Ar-3,"P.Brux. 19 = SB V 8263 (cf. P.Harr. II, pp. 52-53; BASP 30 [1993]","Arsinoe, 117/8",Theon,['Theon'],['117 Ar-3-d1'],"['(1) Theon [declarant], age lost', '(2) Laberia d. Pasion (s. Pasion) and Alexandra (d. of Pasion), wife of Theon [no.l], 32']","['(1) NN, 57', '(2) Pasion s. Dioskoros [no.l below] slave of Laberia, and Alexous [no.3 below] d. Hermas, 1', '(3) Alexous d. Hermas (s. Hermas) and Tasoucharion (d. Syros), wife of Dioskoros the slave (no.l below), 26', '(4) Alexous d. Dioskoros (slave of Laberia, no.l below) and Alexous (d. Hermas, no.3 above), 8', '(5) Taareotis d. Dioskoros (slave of Laberia, no.l below) and Alexous (d. Hermas, no.3 above), 6']","['(1) Dioskoros, slave of Laberia d. Pasion and of Horaiane her sister (equal shares), weaver, 29', '(2) Dioskoros aXKoq (""another""), slave of Laberia d. Pasion and of Horaiane her sister (equal shares), 1', '(3) Isidora slave of Laberia d. Pasion and of Horaiane her sister (equal shares), 49', '(4) Dioskorous nicknamed Sarapous, slave of Laberia d. of Pasion and of Horaiane her sister (equal shares), 23']",,P.Brux.inv. E 7360; photograph.,"Top lost, otherwise almost complete. Ed. describes Laberia as the declarant, but her place in the start of the list of women, after the men, shows that this is not correct. The declarant must have been her husband Theon, who is mentioned in her entry. The first, partly preserved, male entry is that of a renter; Theon and an unknown number of other free males appeared in the lost part of the declaration. This is an extract from the original. The date is inferred but virtually certain. See P.Harr. II pp. 52-53 and BASP 30 (1993) 36-38 for discussion."
42,117-AM,P.Mich. Ill 178 (cf. BL 7.108-09),"Bacchias (Arsinoite), 5/5/119","Horos s. Horos (s. Horos) and Herieus (d. Menches), public farmer",['Horos'],['117-AM-d1'],"['(1) Horos [declarant] s. Horos (s. Horos) and Herieus (d. Menches), public farmer, 48', '(2) Tapekysis d. Horos, wife of Horos [declarant], 45', '(3) Horos s. Horos [declarant] and Tapekysis [no.2], age lost', '(4) Horion s. Horos [declarant] and Tapekysis [no.2], age uncertain', '(5) Horion s. Horos (s. Horos) and Herieus (d. Menches), brother of Horos [declarant], 35', '(6) Thenatymis d. Chariton, wife of Horion [no.5], 39', '(7) Horos s. Horion [no.5] and Thenatymis [no.6], 1']",[],[],public farmer,"P.Mich, inv. 106; PI. V; seen 9/11/1990.","Virtually complete. The editors read the age of Horion [no.4] as 1 (a). 30 (X) is equally possible. The age of Thenatymis [no.6], read by the editor as 31 (Xa) and Youtie as 39 (X0), looks most like 32 (X/3), but the second digit is probably a theta correcting some other letter (maybe beta). See 89- Ar-1 and 103-Ar-8."
43,117 Ar 5,BGU VII 1579,"Kerk(esoucha?) (Arsinoite), 118/9",Tnepheros d. Papontos with kyrios kinsman Theon s. Aphrodisios,['Tnepheros'],['117 Ar 5-d1'],"['(1) Tnepheros [declarant] d. Papontos, 30', '(2) Pnepheros s. Ptollis (s. Pnepheros) and Tnepheros [declarant], 10', '(3) Aphrodisia d. Ptollis (s. Pnepheros) and Tnepheros [declarant], 8', '(4) —anion d. Ptollis (s. Pnepheros) and Tnepheros [declarant], age lost']",[],[],,Formerly Berlin P. 11489; lost in World War II.,"Apparently complete, but with no date. The house belongs to Pnepheros, the minor son of the declarant."
44,117 Ar 6,BGU VII 1580,"Philadelphia (Arsinoite), 6/6/119",NN s. Menches and Sentaos,['NN'],['117 Ar 6-d1'],"['(1) NN [declarant] s. Menches and Sentaos, 56', '(2) T.th— d. Pekeis, wife of NN [declarant], 53', '(3) Herakles s. NN [declarant] and T.th— [no.2], age lost', '(4) Ammonarion d. NN [declarant] and T.th— [no.2], age lost', '(5) Sentaos d. Skammaios, mother of NN [declarant], 75']",[],[],,Formerly Berlin P.I 1496; lost in World War II.,Broken at the top; many small lacunae.
45,117 Ar 7,BGU III 706 (cf. BL 1.60)0,"Soknopaiou Nesos (Arsinoite), ca 118","Harpagathes s. Stotoetis (s. Tesenouphis) and Herieus, priest of the 4th tribe",['Harpagathes'],['117 Ar 7-d1'],"['(1) Harpagathes [declarant] s. Stotoetis (s. Tesenouphis) and Herieus, age lost', '(2) Thenapynchis d. Stotoetis, wife of Harpagathes [declarant], age lost', '(3) Stotoetis s. Stotoetis and Thenapynchis [no.2], age lost', '(4) Pekysis s. Stotoetis (s. Tesenouphis) and Herieus [no. 10], brother of Harpagathes [declarant], age lost', '(5) Horos s. Stotoetis (s. Tesenouphis) and Herieus, brother of Harpagathes [declarant] and Pekysis [no.4], age lost', '(6) Tapiomis d. P..., wife of Pekysis [no.4], age lost', '(7) Tapekysis d. Pekysis [no.4] and Tapiomis [no.6], age lost', '(8) T[ d. Pekysis [no.4] and Tapiomis [no.6], age lost', '(9) Tapiomis d. Tesenouphis, wife of Horos [no.5], age lost', '(10) Herieus d. Harpagathes (mother of declarant), age lost']",[],"['(1) Isidora slave of Harpagathes [declarant], age lost', '(2) NN slave (female) of Herieus [no. 10], age lost', '(3) NN slave (female) of Pekysis [no.4], age lost']",priest of the 4th tribe,"Berlin, P.7161; seen 15/4/1991.","Broken at left and right, with loss at right of all ages and some names. Broken at bottom with possible loss of additional persons. The editor does not restore the names of Pekysis (lines 12 and 21) and Herieus (line 4), but they appear inescapable, and the listing above assumes the correctness of these restorations."
46,117 Ar 8,P.Monac. Ill 70,"Arsinoe, 6/4/119",Philoumene alias Phi[,['Philoumene'],['117 Ar 8-d1'],"['(1) Philoumene alias Phi[ [declarant], age lost']","['(1) NN s. NN (s. Herodes) and Diodora, age lost', '(2)NN, wife of NN [no.l], 35', '(3) NN child of NN [no.l] and NN [no.2], age lost', '(4) NN child of NN [no.l] and NN [no.2], age lost']","['(1) Heraklous alias NN, slave of Philoumene [declarant], age lost']",,"Munich, P.Graec.Mon. 16; Abb. 18.","Broken at top and left; most names and ages are lost, but apparently no complete entries. The four non-kin are renters."
47,117 Ar 9,P.Corn. 16.14-20 (cf. BASP2Z [1991] 19-27),"Arsinoe, 119",Name lost,['Name lost'],['117 Ar 9-d1'],"['(1) NN s. NN and Leukarous, idiotes, 24']",[],[],,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Mentioned in the introduction to the first edition but not published. This is an extract, most of which is lost at left; its brevity suggests that much was omitted, and it cannot be determined if the original included other per- sons."
48,117-Ar-lO,CPR XV 24,"Arsinoe, 119",Hermas s. Diodoros (s. Harpalos) and NN,['Hermas'],['117-Ar-lO-d1'],['(1) Dioskoros s. Didymos'],[],[],,"Vienna, inv. G 24602; seen 25/4/1991.","Broken at bottom and with varying losses at right. Copy of a declara- tion, appended to a declaration of birth. Hermas declares a property inhabited by renters. The declaration breaks off in the middle of the listing of the first of these."
49,117 Ar 11,"P.Lond. inv. 1570b (Cd'E, forthcoming)","Arsinoite, 119 (?)",Zoilos the elder (?),['Zoilos'],['117 Ar 11-d1'],"['(1) Zoilos the elder [declarant], over 60', '(2) NN, wife of Zoilos the elder [declarant], 60', '(3) Harphaesis s. Zoilos the elder [declarant] and NN [no. 2], probably over 30', '(4) NN wife of Harphaesis [no. 3], 30', '(5) NN son of Harphaesis [no. 3] and NN [no. 4], 4', '(6) NN son of Harphaesis [no. 3] and NN [no. 4], < 4', '(7) NN d. Harphaesis [no. 3] and NN [no.4], 10', '(8) Satabous s. Zoilos the elder [declarant] and NN [no. 2], age lost (probably in 20s)', '(9) NN d. Ammonios, wife of Satabous [no. 8], 18', '(10) NN d. Satabous [no. 8] and NN [no. 9], 1', '(11) NN s. Zoilos [declarant] and NN [no. 2], 19', '(12) NN d. Zoilos [declarant] and NN [no. 2], 22']",[],[],,"London, British Library, inv. 1570b; seen 3/4/1991.","Broken at top and left. The provenance is based on the distinctively Arsinoite combination of names. The date is inferred, see the publication in Cd'E. This is apparently a copy from a register entry derived from a declara- tion. Some of the persons listed were included in the lost portion, where still others (probably males) may well have been listed. The reconstruction of the relationships is in some points very uncertain."
50,117 Ox-1,P.Oxy. IV 786 descr. (cf. BL 4.60),"Oxyrhynchos, 25/1/119",Ariston s. Apollonios and Didymos s. Didymos,['Ariston'],['117 Ox-1-d1'],[],[],[],,Cairo inv. JE 43434; photograph.,"Only the end is preserved, with all declared persons lost before the preserved part. The phrasing of the closing suggests that some persons were declared."
51,117-Ox-2,P.Oxy. XII 15470,"Oxyrhynchos, 24/1/119",Petosiris s. Dionysios (s. Petosiris) and Mieus (d. Horos),['Petosiris'],['117-Ox-2-d1'],"['(1) Petosiris [declarant] s. Dionysios (s. Petosiris) and Mieus (d. Horos), stonecutter, 74', '(2) Ti— s. Petosiris [declarant] and Tetoeus (d. Thoonas), stonecutter, 45', '(3) Apollonides s. Petosiris (s. Thoonis) and Tapsois (d. Paulos), stonecutter, 21', '(4) Papontos s. Thoonas (s. Petosiris) and Thaisous (d. Papontos), brother of Tetoeus [no.5], stonecutter (currently absent), 57', '(5) Tetoeus d. Thoonas (s. Petosiris) and Thaisous, sister of Papontos [no.4], wife of Petosiris [declarant], age lost']",[],"['(1) NN (name lost), 3[.]', '(2) Thaesis, purchased slave of Tetoeus [no.5], 3[.]']",,"Cairo, inv. JE 47492; photograph in Ashmolean, seen 5/4/1991.","Fairly complete, but extensive minor damage throughout and badly abraded over much of the surface. We assume that the first-named male (line 16) is the declarant, and that his name is to be restored as the patronymic of Ti— (line 17). We also restore Tetoeus as the name of the only free female person registered (line 25). It is not clear what the relationship of Apollonides [no.3] is to the others. Petosiris declares another house, unoccupied. Another person is listed in line 32, but the situation is unclear."
52,131-Ar-l,BGU1132 (cf. BL 1.22),"Arsinoe, 132/3",Name lost,['Name lost'],['131-Ar-l-d1'],"['(1) NN s. NN and NN, 14', '(2) Dionas s. NN and NN, 9', '(3) Hermes s. NN and NN, 3', '(4) Herons. NN and NN, < 1']",[],[],,"Berlin, P.1354; seen 16/4/1991.","In two columns, apparently an extract or extracts. Col. i is broken at the left and the entire papyrus at the bottom. The relationship of the two is unclear, but a great deal is lost in col. i, which gives no connected sense. It seems best to consider only col. ii, children whose parents were mentioned earlier. All of the children are described as ^(rpbq) rrjc; a(vTrjc;)."
53,131-Ar-2,BGU1182.16-22,"Arsinoe, 132/3",NN d. NN (s. Souchas) and NN with kyrios NN s. Diodoros,['NN'],['131-Ar-2-d1'],"['(1) NN [declarant] d. NN (s. Souchas) and NN, age lost']",[],[],,"Berlin, P.7145; seen 12/4/1991.","Only the upper part is preserved, breaking off just after nod elfii; above it on the papyrus is 145-Ar-6. Broken also at left and right. The iden- tification of the declarant as female is based on the placement of the name Diodoros, which must be part of the name of a kyrios, not an ascendant of the declarant."
54,131-Ar-3,"P.Corn. 16.39-58 (cf. BL 2.2.49, 3.46, 4.24; BASP2S [1991] 19-27)","Arsinoe, 22/7/133","Ploution s. Komon (s. Heron) and Ptollarous alias Ptolema (d. Apol- lonios, katoikos)",['Ploution'],['131-Ar-3-d1'],"['(1) Sokrates s. Dioskoros, [46]', '(2) Aphrodous d. Dioskoros, full sister and wife of Sokrates [no.l], 42', '(3) Dioskoros s. Sokrates [no.l] and Aphrodous [no.2], 12', '(4) Onesimos s. Sokrates [no.l] and Aphrodous [no.2], 10', '(5) Asklas s. Sokrates [no.l] and Aphrodous [no.2], 8', '(6) Zoidous d. Sokrates [no.l] and Aphrodous [no.2], 6', '(7) Herais d. Sokrates [no.l] and Aphrodous [no.2], 2']",[],[],,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.",Complete except for minor damage. Declarant registers renters of a house he owns but does not live in. The age of no.3 cannot be verified in the current condition of the papyrus. Cf. 117-Ar-l.
55,131-Ar-4,"P.Giss.Univ.Bibl. 114 (cf. BL 2.2.67, 3.68, 4.34)0","Apias (Arsinoite), 132/3",Saras s. Heras (s. Saras) andTases (d. Peteusorapis),['Saras'],['131-Ar-4-d1'],"['(1) Saras [declarant] s. Heras (s. Saras) and Tases (d. Peteusorapis), age lost']",[],[],,P.Giss.Univ.Bibl. inv. 197; photograph.,"Broken at left and at bottom, with minor losses at both. The household is complete."
56,131-Ar-5,BGUI 53 (cf. BL 1.12),"Dionysias (Arsinoite), 24/7/133",Ioulia Krispina through phrontistes Horos s. Onnophris,['Ioulia Krispina through phrontistes Horos'],['131-Ar-5-d1'],[],[],[],,"Berlin, P.6880; seen 15/4/1991.","Complete. Only property (two houses with courtyards) is declared, no persons."
57,131-Ar-6,SB XII 10842 = Cd'E 46 (1971) 120-28 = P.Tebt. II 522 descr.,"Ibion Eikosipentarouron (Arsinoite), 4/8/133","Herakleides s. Didymos the younger (s. Herodes), former gym- nasiarch, member of the 6475, through his phrontistes Tyrannos",['Herakleides'],['131-Ar-6-d1'],[],[],[],former gym- nasiarch,"Berkeley, P.Tebt. 522; seen 28/9/1990.","Complete at top and bottom, some damage at the sides and scattered throughout. Herakleides lives in Arsinoe; this is a declaration of property in Ibion Eikosipentarouron in which no one is registered."
58,131 Ar 7,P.Tebt. II 566 = Aegyptus 72 (1992) 64-66 (cf. Archiv 6 [1920] 144 and,"Samareia (Arsinoite), 133","Ptolemaios s. NN (s. Apollonides), katoikos",['Ptolemaios'],['131 Ar 7-d1'],[' None'],[],[],,"Berkeley, P.Tebt. 566; seen 28/9/1990.","Broken at the bottom, just after the indication that no one is registered in the property. In Archiv one finds lines 1-2 (p. 144) and 3-4 (p. 222); the full text is published in Aegyptus."
59,131-Ar-8,P.Bad. VI169 (cf. BL 8.16),"Tebtunis (Arsinoite), 132/3","Harpochration s. Marepsemis (s. Marsisouchos) and Thenpakebkis (d. —sis), priest",['Harpochration'],['131-Ar-8-d1'],"['(1) Harpochration [declarant] s. Marepsemis (s. Mar- sisouchos) and Thenpakebkis (d. —sis), priest, 66', '(2) NN d. —eus (s. PsenaD, wife of Harpochration [declarant], age lost']",[],[],priest,"Heidelberg Universitatsbibliothek, inv. 2077; photograph.","Broken at left and below, in middle of list of persons."
60,131-Ar-9,BGU XIII 22200,"Soknopaiou Nesos? (Arsinoite), 133","Apion s. Apion (s. NN), one of the 6475 Hellenes",['Apion'],['131-Ar-9-d1'],[],[],[],,"W. Berlin, P.21706; seen 11/4/1991.","Fragment from upper left corner of document. It comes from excava- tions at Soknopaiou Nesos (which there is room to restore in line 3), but editor refrains from giving any provenance except ""Fayum."" Nothing preserved of the section listing any individuals."
61,131-Ar-10,"BulIAinShams 1 (1985) 38-40, no.10","Theadelphia (Arsinoite), 2/5/133","Lykos s. Heras (s. Lykos) and Tasooukis and Deios s. Heras (s. Lykos) and Tasooukis, public farmers","['Lykos', 'Deios']","['131-Ar-10-d1', '131-Ar-10-d2']","['(1) Lykos [declarant] s. Heras (s. Lykos) and Tasooukis, public farmer, 34', '(2) Deios [declarant] s. Heras (s. Lykos) and Tasooukis, public farmer, 29']",[],[],public farmer,"Cairo, SR 3049/69; photograph; original not found 2/4/1993.",Complete.
62,131-Ar-ll,"P.Graux inv. 937 (cf. AEPHE 1931-32, 3-19; BASP 30 [1993] 43-45)","Arsinoe, 133",Not preserved; two or more members of a family,['Not preserved; two or more members of a family'],['131-Ar-ll-d1'],"['(1) Aphrod( ) [declarant, male], 32', '(2) NN d. NN [no.l] and NN [divorced wife], age lost', '(3) NN child of NN [no.l] and NN [divorced wife], age lost', '(4) Philippos s. Apollonios and ....ion, 6', '(5) NN child of Apollonios and ....ion, age lost', ""(6) Sarapias, d. NN and NN, sister on father's side of no.l, age lost""]",[],[],,"Paris, Institut de Papyrologie, Sorbonne, P.Graux inv. 937;","Broken at top, bottom, left, and partially at right, with much internal damage. Some persons are certainly lost. Probably this is a household with two or three siblings and their (spouses and) children living together."
63,131-Be-l,"P.Hamb. I 7 (cf. BL 1.193, BASP2S [1991] 29-31)0","Peptaucha (Berenike), 30/6/132",Niktathymis s. Papeiris (s. Niktathymis),['Niktathymis'],['131-Be-l-d1'],"['(1) Niktathymis [declarant] s. Papeiris (s. Niktathymis) and Apollonia, 71', '(2) NN d. Piesies, wife of Niktathymis [declarant], 60', '(3) Niktathymis s. Niktathymis [declarant] and NN [no.2], priest, 40', '(4) NN alias Samounis s. Archidemos and Taesis, age lost', '(5) NN d. Paesis, wife of NN alias Samounis [no.4], 65']",[],[],,"Hamburg, inv. 68; Tafel IV; photograph.","Complete except for scattered damage, especially a strip from the mid- dle part of the left side. yv(prj) is both times followed by K\O)( ), the sense of which is obscure. No indication is given of the relationship of nos. 4 and 5 to nos. 1-3."
64,131 He 1,P.Oslo III 98 (cf. BL 3.126; 8.229)0,"Herakleopolis, 132/3","Semtheus s. Hephaistas (s. Panasneus) and Nemesous (d. Herakleios), katoikos",['Semtheus'],['131 He 1-d1'],"['(1) Semtheus [declarant] s. Hephaistas (s. Panasneus) and Nemesous (d. Herakleios), katoikos, 39']",[],[],,"Oslo; P.Oslo III, pi. IV.","Almost complete, with minor damage at foot. Ends of a few lines of a preceding column with another declaration survive. Cf. 145-He-l."
65,131-He-2,"P.Bad. IV 75a (cf. BL 2.2.183, BASP 27 [1990] 2-3)","Ankyronpolis (Herakleopolite), 133",Petesouchos s. Pisoithis and Thenamenneus,['Petesouchos'],['131-He-2-d1'],"['(1) Petesouchos [declarant] s. Pisoithis and Thenamenneus, [28]', '(2) Tausiris d. Paritis, wife of Petesouchos [declarant], 20', '(3) Pnephoros s. Petesouchos [declarant] and Tausiris [no.2], said to have been born enl JeVr/g, 3', '(4) Thenphrokos d. Psenamounis (s. Thenamounis) and Tausiris [mother of Tausiris no.2, apparently], 50(+)']",[],[],,"Heidelberg, P.Heid.inv. G 668; photograph.","Broken at right and at bottom; no apparent loss of persons. P.Bad. IV 75b (145-He-l) gives the declarant's age in the following census, from which it is restored here. Thenphrokos' age survives as v[, thus anything from 50- 59."
