,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
267,215,He,2,"SPP II, p. 27-28, no.2 = W.Chr. 209 (cf. BL 3233, 8.433-34)0","Ankyronpolis (Herakleopolite), 217",Ankyronpolis (Herakleopolite), 217,Aur. Pareitis,,,,,['215 He 2-d1'],,5,0,0,"Vienna, inv. G 24861; seen 22/4/1991.","Broken at left (large losses in lower part) and below. The heading is an acknowledgment by nos. 4 and 5 of a copy of an extract from a declara- tion submitted by Pareitis, which is then appended.",Yes
268,215,He,3,P.Oxy. XXXIII 26710,"Leonidou (Herakleopolite [?]), 216/7",Leonidou (Herakleopolite [?]), 216/7,Aurelius Menches,,,,,['215 He 3-d1'],,6,1,2,Ashm.; seen 4/4/1991.,"Complete except at bottom, where an entry or more have been lost. The declaration also records that Taseus, another daughter of Horos [no.2], has died (age at death not stated). The declarant's age may or may not have had a second digit; there are no traces of one. The entry about Horos alias ..mes is very uncertain of reading and interpretation.",No
269,215,Hm,1,"P.Lond. HI 935 (p. 29) (cf. BL 1.274, 3.95, 6.62; ZPE 76 [1989] 213","Hermopolis, 12/3/217",Hermopolis, 12/3/217,Aur. Hermeinos alias Moros,,,,,['215 Hm 1-d1'],,2,0,0,"London, BL inv. 935; microfilm; original seen 3/4/1991.","Complete. The date as given by the scribe is in 216, but the editor points out that one would expect 217, as in 215-Hm-2; cf. BL 6.62 for the scribal error. Cf. also 215-Hm-2. For the family at an earlier stage, see 187- Hm-1; later, cf. 229-Hm-l.",No
270,215,Hm,2,"P.Lond. Ill 936 (p. 30) (cf. BL 1.274, 3.95; ZPE 76 [1989] 213-18)","Hermopolis, 16/3/217",Hermopolis, 16/3/217,Aur. Dioskorous,,,,,['215 Hm-2-d1'],,1,0,0,"London, BL inv. 936; microfilm; original seen 2/4/1991.",Cf. 215-Hm-l for the declaration of Dioskorous' husband and brother as a resident of his brother Hermeinos' household.,No
271,215,Hm,3,"P.Mil. I 37 = SB X 10437 (cf. BL 7.102, 8.206)","Hermopolis, 216/7",Hermopolis, 216/7,Aurelia Demetria,,,,,['215 Hm-3-d1'],,1,0,2,"Milan, Castelli Collection, inv. 58; PI. XV in P.Mil.","Very fragmentary at top, broken at left and bottom (only end of sub- scription lost). Declarant refers to another declaration, possibly of property only but perhaps including other persons; she owns more than one house. We do not accept the correction to line 10 proposed in BL 8.206.",Yes
272,215,Ox,1,P.Oxy. XLVII 3347,"Oxyrhynchos, 216/7",Oxyrhynchos, 216/7,Titus,,,,,['215 Ox 1-d1'],,0,0,0,Ashmolean; seen 4/4/1991.,"Complete except at bottom, where it is broken before declaration of any persons.",Yes
273,229,Ar,1,BGUI 125 (cf. BL 7.10),"Arsinoe, 6-8/231 (?)",Arsinoe, 6-8/231 (?),Aur,,,,,['229 Ar 1-d1'],,0,0,0,"Berlin, P.1348; seen 15/4/1991.","Broken at bottom and right, some loss at left. Entire list of persons declared is lost; since the declarant says that he registered in another declara- tion, this is probably a list of renters of a property he owns. For the date, which is based on an uncertain reading of the strategos' name, see Bastianini and Whitehorne, Strategi, 38.",Yes
274,229,Ar,2,BGU HI 971.8-15 (cf. BASP 29 [1992] 112-13),"Arsinoe, 6-8/231 (?)",Arsinoe, 6-8/231 (?),Aur. Ammonios,,,,,['229-Ar-2-d1'],,3,0,0,"Berlin, P.7171; seen 15/4/1991.","Broken at left and right. A copy in a later petition. For the date, which depends on the strategos, see Bastianini and Whitehorne, Strategi, 38. Some names are restored from other parts of the petition and the declaration 243- Ar-4 which follows on the papyrus.",Yes
275,229,He,l,P.Heid. 244 (cf. Cd'E 39 [1964] 168-71; Proc. XII Congr. 390 n.8; BL,"Herakleopolite, 230/1",Herakleopolite, 230/1,Titus,,,,,['229-He-l-d1'],,0,0,0,"Heidelberg, inv. Gr. 52; Tafel Vic","Broken at left and bottom, before any list of persons; also some damage at right. Given that this is a Roman citizen, it is possible that only property was declared. But that is not in any case an invariable rule. The text must be read in the reedition by Bingen in Cd'E.",Yes
276,229,Hm,l,"P.Lond. Ill 946 (p. 31) (cf. BL 121'4, 3.95, Proc. XII Congr. 389-90;","Hermopolis, 12/5/231",Hermopolis, 12/5/231,Aur. Theognostos alias Moros,,,,,['229-Hm-l-d1'],,2,0,0,"London, BL inv. 946; microfilm; original seen 3/2/1991.","Very much mutilated, with losses at lower left, right center, and throughout. In the previous census Theognostos, though called Dioskorous' husband, was declared in the house of his brother Hermeinos (215-Hm-l), while Dioskorous declared her own house (215-Hm-2). The editor restored the age as 64 on the basis of a false reading in 215-Hm-l (q.v.). Partial copies are found in P.Stras. VI 573 and in'P.Lond. HI 947 I i descr.",No
277,229,Hm,2,P.Lond.inv.,"Alabastrine (Hermopolite), 20/5/231",Alabastrine (Hermopolite), 20/5/231,Aurelius Harendotes,,,,,['229-Hm 2-d1'],,3,0,0,"London, British Library, inv. 1157 recto (a); seen 3/2/1991,","Broken at left, and the surface obscured or abraded. Only partial transcript in Parsons' article. The first child's name is partly lost, but the patronymic is not Harendotes. No female members of the household are declared, and we cannot securely reconstruct the family history nor know why the younger child, evidently not the declarant's son, is listed before the older child.",Yes
278,229,Ly,l,"SPP II, p. 31 (cf. BL 8.434)","Lykopolis, 229/230",Lykopolis, 229/230,Aur. Didyme,,,,,['229-Ly-l-d1'],,0,0,0,"Vienna, inv. G 19796; seen 22/4/1991.","Broken at top and bottom, slight damage at left and lower right. This is a supplementary declaration to the strategos and basilikos grammateus cor- recting an error made in ignorance concerning the ownership of a 6-year-old male slave, whom she declared although he actually belonged to another.",Yes
279,229,Ox,l,"PSIX 1112 (cf. BL 3.228, 4.90, 6.184, 8.406)","Oxyrhynchos, 7-8/231",Oxyrhynchos, 7-8/231,Aur. Di.. alias Theon,,,,,['229-Ox-l-d1'],,0,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete except minor losses at sides. Declares no individuals in full, not even the declarant. Those previously registered are stated to have died and been released from capitation taxes.",No
280,229,Ox,2,P.Oxy. XLII 3077 (cf. Proc. XII Congr.Pap. 397),"Oxyrhynchos, 229/230",Oxyrhynchos, 229/230,Aurelii,,,,,['229 Ox 2-d1'],,0,0,0,Ashmolean; seen 4/4/1991. This is listed by Nachtergael as P.Oxy.,"Broken at right and at bottom, taking the names of all persons registered.",Yes
281,243,Ar,l,"P.Flor. I 5 (cf. BL 1.134, 3.55, 7.49; BASP21 [1990] 4-5)","Arsinoe, 244/5",Arsinoe, 244/5,Aur. Thermoutharion,,,,,['243-Ar-l-d1'],,3,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete at top and right, some loss at left and broken at the bottom in the middle of the list of persons declared. Other persons were listed, with a total (not readable) in line 20.",Yes
282,243,Ar,2,P.Prag. I 18 = SB I 4299,"Arsinoe, 7-8/245",Arsinoe, 7-8/245,Aurelius Aphrodisios alias Euporas,,,,,['243-Ar-2-d1'],,3,0,0,P.Prag. Gr. I 34; PI. XXIII.,Complete except at right. Declarant is registered in another declara- tion; this one concerns another property and its renters.,No
283,243,Ar,3,BGU IV 1069 recto (cf. BL 3.17)0,"Arsinoe, 244/5",Arsinoe, 244/5,Aur. Syra,,,,,['243 Ar 3-d1'],,4,2,0,"Formerly Berlin, Ersatz Ehnas; since 1907 in Cairo Museum, SR","Broken at bottom; some loss at left. This is a copy. The two persons classified as ""renters"" by the declarant are in fact related by marriage.",Yes
284,243,AM,,BGU HI 971.16-21 (BASP 29 [1992] 112-13),"Arsinoe, 6-8.245 (?)",Arsinoe, 6-8.245 (?),Thermoutharion apator,,,,,['243 AM-d1'],,2,0,0,"Berlin, P.7171; seen 15/4/1991.","Broken at left, right, and below. A copy of the declaration included in a petition. For date, which depends on strategos, see Bastianini and Whitehorne, Strategi, 38. The previous declaration for this household, 229- Ar-2, included Thermoutharion's now deceased husband Ammonios and a daughter of unknown age. We cannot tell if the latter figured also in this declaration or was now married and living elsewhere.",Yes
285,243,Ox,1,"P.Flor. I 4 = W.Chr. 206 (cf. BL 4.29, BASP 27 [1990] 3)","Oxyrhynchos, 4-5/245",Oxyrhynchos, 4-5/245,Aurelii,,,,,['243 Ox-1-d1'],,2,0,6,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Complete. The younger Markos [no.4] apparently has been freed; the start of line 24 does not contain his age. See BASP 27 [1990] 3.,No
286,243,Ox,2,P.Heid. IV 299,"Oxyrhynchos, 244/5",Oxyrhynchos, 244/5,Aur,,,,,['243 Ox-2-d1'],member of the hiera synodos,0,0,0,"Heidelberg, inv. G 961; Tafel VI.",Two fragments. The declarant registers apparently a house in the quarter of Tegmenouthis.,No
287,243,Ox,3,P. Oxy. L 3565,"Oxyrhynchos, 5/4/245",Oxyrhynchos, 5/4/245,Aurelius Aniketos,,,,,['243 Ox 3-d1'],councillor,0,0,0,Ashmolean; seen 4/4/1991.,Complete. A return of property in the village of Ision Panga in which no one is registered.,No
288,257,Ar,1,SPP II p. 32 (cf. BL 1.407; BASP 30 [1993] 54-56),"Arsinoe, 28/8/259",Arsinoe, 28/8/259,Aur. Helene,,,,,['257 Ar 1-d1'],,3,0,0,"Vienna, inv. G 25757; seen 22/4/1991.",Broken at left along most of the length. It is unknown if the father of the children was dead or divorced from Helene at the time of the declaration. Another child might have been declared in line 10 in the lacuna.,Yes
289,???,An,l,P. Col. X 269 (P.Col.inv. 420b),"Antinoopolis, 2/3c",Antinoopolis, 2/3c,,,,,,[],,0,0,0,"Columbia, P.Col.inv. 420b; seen.",Broken at left and just below the address.,Yes
290,???,Ar,l,"BGUI 130 (cf. BL 1.22, 3.8)#","Apias (Arsinoite), 2/3c.",Apias (Arsinoite), 2/3c.,Serenos,,,,,['???-Ar-l-d1'],,1,0,0,"Berlin, P.1346; seen 19/4/1991.","Broken at left and below, with some loss at right. Breaks off before list of persons, but preserving indication that declarant was one of persons listed, i.e. it was his household.",Yes
291,???,Ar,2,BGU I 131 (cf. BL 4.3; BASP 29 [1992] 106),"Arsinoite, 3c. (215, 229, 243, or 257)",Arsinoite, 3c. (215,Kopreia,,,,,['???-Ar-2-d1'],,2,0,0,"Berlin, P.1347; seen 15/4/1991.","Broken at left, right, and bottom, with loss of all but a thin strip. Several further persons may have been declared, but not enough remains to reconstruct anything of their identity.",Yes
292,???,Ar,3,"P.Lond. Ill 1119b (p. lviii) (Calderini, La composizione delta famiglia","Soknopaiou Nesos (Arsinoite), 2c",Soknopaiou Nesos (Arsinoite), 2c,NN,,,,,['???-Ar-3-d1'],,22,0,0,"London, BL inv. 1119b; microfilm; seen 3/4/1991.","Broken at bottom, damaged at top, right and here and there through the body. The text given by Calderini is a very preliminary transcript by Bell. This is listed as of unknown provenance, but the names point unmistakably to Soknopaiou Nesos. The editor mistakenly read the age of no. 11 as iT). Another brother, ]oteros, may have figured in a lacuna some- where.",Yes
293,???,Ar,4,P.Berol.inv. 1343 {Archiv 39 [1992] 28),"Arsinoe, 175 or 189",Arsinoe, 175 or 189,None,,,,,['???-Ar-4-d1'],,0,0,0,"Berlin, inv. P.1343; seen 19/4/1991.","A small fragment from the bottom of a declaration, with some loss at right. Only a description of property remains.",No
294,???,Ar,5,P.Berol.inv. 1361 {Archiv 39 [1993] 28),"Arsinoe, 2c",Arsinoe, 2c,Names lost (probably two brothers),,,,,['??? Ar-5-d1'],,12,0,0,"Berlin, inv. P.1361; seen 19/4/1991.","Fragment, broken on all sides, of what is apparently a household con- taining two brothers, their wives, and their children. So much is lost that the age and sex of most of the children is impossible to recover, and each couple may have had one or two more than given here.",Yes
295,???,Me,l,P.Cair.Preis. 10 (cf. BL 5.22; ZPE 80 [1990] 219-20),"Memphis, 146 or 160",Memphis, 146 or 160,Protas,,,,,['???-Me-l-d1'],,2,0,0,"Cairo; plate in P.Cairo-Preisigke Plates, pi. 10.",Broken at the top.,Yes
296,???,Ox,1,P.Amst. I 30,"Oxyrhynchos, 2c. (middle)",Oxyrhynchos, 2c. (middle),Not preserved,,,,,['??? Ox 1-d1'],,0,0,0,P.Amst.inv. 108. PI. XIV.,Fragment broken above and below.,Yes
297,???,Ox,2,P. Col X 262 (P.Col.inv. 465),"Oxyrhynchos, 146 or 160",Oxyrhynchos, 146 or 160,Not preserved,,,,,['??? Ox-2-d1'],,5,0,0,"Columbia, P.Col.inv. 465; seen.","Broken at top and at right. No persons are lost. The persons declared may represent a family of renters, or perhaps more than one family; some were registered in different amphoda in previous censuses.",Yes
298,???,XXI,,P.Erl. 38,"Unknown, 2c.",Unknown, 2c.,Claudia,,,,,['??? XXI-d1'],,0,0,0,"Erlangen, inv. 101; photograph.","Broken above and at right, with only the subscriptions preserved. This may be a declaration only of property if these are Roman citizens. Addendum The following households come from documents that became available to us only after this book was in page proof.",Yes
299,117,Ar,12,"ZPE 98 (1993) 283-91 col. ii.42-60 (cf. Bagnall, forthcoming)","Arsinoe, 119",Arsinoe, 119,Kronous,,,,,['117 Ar-12-d1'],,6,0,3,"P.Mich, inv. 5806; plate XVIb","Extract from the eiKovLOnot; of the census of 117/8, quoted in a dossier of documents (including a cession of real property) compiled for an unknown reason at a subsequent date. The names have, as is normal in a register, been rearranged from the order of the original declaration, such that males are listed in descending order of age, then females. In the original declaration, Kronous (here no. 3) would as declarant have come first. For this household fourteen years later, see 131-Ar-12. The name of Kronous' mother is given differently in the two declarations; the editor takes Kronous here to be an error. Kronia (no. 6) is called Kroniaina in 131-Ar-12.",No
300,131,Ar,12,"ZPE 98 (1993) 283-91 col. i.23-41 (cf. Bagnall, forthcoming)","Arsinoe, 133",Arsinoe, 133,Kronous,,,,,['131-Ar 12-d1'],,5,0,0,"P.Mich, inv. 5806; plate XVIb","Extract from the eiKOVioiibq of the census of 131/2, quoted in a dossier of documents (including a cession of real property) compiled for an unknown reason at a subsequent date. The names have, as is normal in a register, been rearranged from the order of the original declaration, such that males are listed in descending order of age, then females. In the original declaration, Kronous (here no. 3) would as declarant have come first. Another daughter of Apronios and Ammonous, Sempronia, was declared to have been married to Marcus Valerius Rufus, a centurion of a chort. For this household fourteen years earlier, see 117-Ar-12. The difference in ages recorded is 14 for two people, 13 for two, and 24 (probably an error for 14) for one.",No
301,131,Ar,13,ZPE 98 (1993) 283-91 col. ii.61-88,"Arsinoe, 133",Arsinoe, 133,Sempronia,,,,,['131-Ar 13-d1'],,2,0,6,"P.Mich, inv. 5806; plate XVIb","Extract from the eiKovioixoq of the census of 131/2, quoted in a dossier of documents (including a cession of real property) compiled for an unknown reason at a subsequent date. The names have, as is normal in a register, been rearranged from the order of the original declaration, such that males are listed in descending order of age, then females. In the original declaration, Sempronia Akousarion (here no. 2) would as declarant have come first. Ages were not given for the slaves, except for Crescens and Heron, because they are stated to have been included in another declaration by those who owned the remaining shares of them, probably the Gaius and Marcus Sempronius mentioned in lines 68-69. Cf. 117-Ar-12 and 131-Ar-12 for the other texts in this dossier.",No
302,159,Ar,27,P.Cair. inv. SR 3049/75 (unpublished),"Theadelphia, 19/6/161",Theadelphia, 19/6/161,Taorseus apator,,,,,['159-Ar-27-d1'],,2,0,1,Photograph.,"Declaration with the central part, containing the list of persons, largely destroyed; otherwise nearly complete.",No
303,ll?,Ox,l,SB XXIV 16011,"Oxyrhynchos, date not preserved; perhaps c. 11",Oxyrhynchos, date not preserved; perhaps c. 11,Sarapion,,,,,['ll?-Ox-l-d1'],taurotrophos,2,3,0,"P.Yale inv. 1217; BASP 34 (1997), pi. 4","The bottom is lost, but there may not be any persons missing, depending on whether females were present and declared. The editor notes parallels to SB XX 14440 (11-Ar-l) in proposing a date under Augustus.",No
304,117,Ap,10,SB XXIV 16012,"Tanyaithis (Apoll.), 1/7/119",Tanyaithis (Apoll.), 1/7/119,Harpokras,,,,,['117-Ap-10-d1'],,4,0,0,"P.Yale inv. 281; BASP 34 (1997), pi. 5","From a tomos synkollesimos. The lower right portion is preserved, miss- ing the declaration and beginning of the list of individuals. Apart from the entry for the declarant, however, no individuals are lost, as a total of 4 is stated. Although a small sample, the declaration displays heavy age-rounding.",No
305,117,AM3,,SB XXII15811,"Karanis, 118/9; preserved in extract from register dated after 138",Karanis, 118/9; preserved in extract from register dated after 138,Petaus,,,,,['117-AM3-d1'],,6,0,0,P.Mich.inv. 2893; online image from black-and-white photograph,"The published text shows a two-digit unread age for no. 5, but on the image it can be seen that at least the first digit is lost in a lacuna, and none of the preserved traces after the lacuna may be part of the age.",No
306,131,AM4,,P.Bodl 117.1-19,"Soknopaiou Nesos, 13/1/133",Soknopaiou Nesos, 13/1/133,Satabous,,,,,['131-AM4-d1'],fisherman,5,0,0,"Bodleian MS Gr. class, c. 99 (P), col. I; Plate 15 in edition; seen",Part of a tomos synkollesimos; only the lower part is preserved. No per- sons are lost. No. 4 was perhaps named Ptollis.,No
307,131,AM5,,P.Bodl 117.20-35,"Soknopaiou Nesos, 132/3",Soknopaiou Nesos, 132/3,Herieus,,,,,['131-AM5-d1'],,3,0,0,"Bodleian MS Gr. class, c. 99 (P), col. II; Plate 15 in edition; seen","Part of a tomos synkollesimos', only the lower part is preserved. No per- sons are lost.",No
308,131,AM6,,P.Bodl 117.36-42,"Soknopaiou Nesos, 1/8/133",Soknopaiou Nesos, 1/8/133,Not preserved,,,,,['131-AM6-d1'],,0,0,0,"Bodleian MS Gr. class, c. 99 (P), col. Ill; Plate 15 in edition; seen",Part of a tomos synkollesimos; only the lower part is preserved.,No
309,131,AM7,,P.Bodl 117.43-50,"Soknopaiou Nesos, 4/7/133",Soknopaiou Nesos, 4/7/133,Not preserved,,,,,['131-AM7-d1'],,2,0,0,"Bodleian MS Gr. class, c. 99 (P), col. IV; Plate 15 in edition; seen","Part of a tomos synkollesimos', only the lower part is preserved. It is not certain if any entries other than the declarant have been lost.",No
310,131,AM8,,P.Bodl 117.51-66,"Soknopaiou Nesos, 17/10/132",Soknopaiou Nesos, 17/10/132,Name not preserved,,,,,['131-AM8-d1'],,10,0,0,"Bodleian MS Gr. class, c. 99 (P), col. V; Plate 15 in edition; seen","Part of a tomos synkollesimos', only the lower part is preserved. The nature of the last three entries is very uncertain, and the ages are based on the most exiguous of traces. Stotoetis son of Pabous (no. 8) could be a final child of Thathres, but by a different husband; in that case the age is probably 1. Stotoetis the elder (no. 9) and Thaesis d. of Stotoetis (no. 10) could be free non-kin or children of Stotoetis the elder (no. 4, presumably). The editor's readings in line 61 are probably not correct.",No
311,131,,Ar,SB XXIV 16013,"Tebtunis (?), 132/3",Tebtunis (?), 132/3,Herakleides alias Valerius,,,,,['131 -Ar-19-d1'],,0,0,0,"P.Yale inv. 468; BASP 34 (1997), pi. 6",The left side is preserved. Declaration of property in Tebtunis in which no one is registered.,No
312,131,Ar,20,SB XXII 15704.61-88; cf. ZPE 105 (1995) 253-55,"Arsinoe, 133",Arsinoe, 133,Gaius,,,,,['131-Ar-20-d1'],,2,0,6,P.Mich.inv. 5806; Tafel XVIb in ZPE 98 (1993); photograph,This is a copy from the register of declarations. The slaves were in the main only partly owned by Sempronia Akousarion and are said to have been registered in another declaration. The house is owned by Sempronia Akousarion.,No
313,131,Oa,l,P.Kell ined. P 99.2d; to be published by R. S. Bagnall and K. A. Worp in,"Mesobe (Great Oasis), 15/8/132",Mesobe (Great Oasis), 15/8/132,Tithoes,,,,,['131-Oa-l-d1'],,4,0,0,"From excavations at Kellis, kept in magazine of Dakhleh Oasis Project;","Only the bottom right part is preserved. The household is in part reconstructed on the basis of 145-Oa-2, found with this declaration and representing the same family. The entry for the declarant is lost in the declara- tion from 131, along with any son or sons who may have been listed before the daughters. Mesobe was a village of the Dakhleh Oasis, probably east of Kellis, where the family actually lived.",No
314,145,Oa,2,"P.Kell ined., P 99.2a; to be published by R. S. Bagnall and K. A. Worp in","Mesobe (Great Oasis), 26/5-24/6/146",Mesobe (Great Oasis), 26/5-24/6/146,Tithoes,,,,,['145-Oa-2-d1'],,4,1,0,"From excavations at Kellis, kept in magazine of Dakhleh Oasis Project;",See 131-Oa-l for the same household 14 years earlier and for discussion of the provenance. Nos. 2 and 3 are apparently the first women to be given an occupational designation in a census declaration.,No
315,173,Ar,21,"P.Stras. VIII768, cf. Pap.Lugd.Bat XXX, pp. 56-58","Tebtunis, 174/5 or later",Tebtunis, 174/5 or later,Sambas,,,,,['173-Ar-21-d1'],,14,0,5,P.Stras. inv. 1166c-d + 1152c + 1160; digital photograph,"Extract from a census declaration. The text is badly preserved and some aspects of household structure cannot be recovered. The portion listing Sambas, the declarant, is not readable, but he is referred to in line 19 as ""aforementioned."" Family members 13 and 14 may be listed as lodgers, but the reading of the word is not clear.",No
316,187,Ar,38,SB XXII15389,"Soknopaiou Nesos, 19/8/189",Soknopaiou Nesos, 19/8/189,Not preserved,,,,,['187-Ar-38-d1'],,1,0,0,P.Berol.inv. 25618; plate 9 in BASP 32 (1995).,"Only the bottom portion is preserved, with subscriptions of the laographoi and komogrammateus. The identity of the one person whose age survives is uncertain.",No
317,187,Ar,39,SB XXIV 16014,"Tebtunis, 188/9",Tebtunis, 188/9,Sarapias,,,,,['187-Ar-39-d1'],,3,0,0,"P.Yale inv. 504 back; BASP 34 (1997), pi. 7","Complete in two somewhat different versions, evidently a draft (editor). The two daughters are described as ""from both [sc. parents],"" but no father is in fact mentioned. The drafts seem not yet to have got the formula right.",No
318,187,AMO,,CPR XXIII6,"Sebennytos, 5-8/189",Sebennytos, 5-8/189,Aphrodisios,,,,,['187-AMO-d1'],,0,0,0,P.Vindob. G 27746; Tafel 4 in the edition.,Only the beginning is preserved. Aphrodisios declares property belong- ing to two children of whom he is guardian.,No
319,201,An?,l,SB XXIV 16223,"Antinoopolis (?), 201/2",Antinoopolis (?), 201/2,Not preserved,,,,,['201-An?-l-d1'],,0,0,0,P.Lille/Fackelmann 75,"A tiny fragment; see Pap.Lugd.Bat. XXX, p. 48 n. 37.",No
320,201,AM3,,SB XXII15810,"Karanis, 19/8/203",Karanis, 19/8/203,]tion,,,,,['201-AM3-d1'],,0,1,0,P.Mich.inv. 252,Only the bottom is preserved.,No
321,201,AM4,,SB XXIV 16015,"Narmouthis, 28/8/203",Narmouthis, 28/8/203,Alba...,,,,,['201-AM4-d1'],weaver,2,0,0,"P.Yale inv. 511; BASP 34 (1997), pi. 8","Complete except for minor breakage at top and left and some damage in the middle. The house belongs to Teieus rather than to the declarant. It was perhaps inherited from her mother, the declarant's deceased wife; he refers (line 20) to a ""maternal house"" in another location.",No
322,215,Ar,9,P.Prag.W 127,"Arsinoe, 216/7",Arsinoe, 216/7,Marcus,,,,,['215-Ar-9-d1'],,3,1,3,P.Prag. Gr. II32; Tav. VII in edition,"Part of a tomos synkollesimos. Strips are lost at left and at right. The property is stated to belong to the declarant and his sisters, one of them Theonis alias Koues, a minor. The damage to line 5 has taken the name of the other property-owning sister, who must be the D..ition of line 9. Unlike Theonis, she is not said to be a minor. The name of Theonis is lost in line 10, but its restora- tion seems unavoidable, because the sisters declared are described as pre- viously mentioned. The declaration of slaves begins with two individuals whose names are lost, followed by Dikaiosyne. After that point the text con- tinues for another few lines to mention names, but the remains were too scanty to allow the editor to reconstruct the text.",No
323,215,Ar,lO,BGUXl 2086.29-33,"Arsinoe, 216/7",Arsinoe, 216/7,Aur,,,,,['215-Ar-lO-d1'],,0,0,0,P.Berol. 21653,Extract quoted in epikrisis-document; apparently the section with the listing of individuals was not included.,No
324,215,Ar,l,"P.Bakchias 137 (in S. Pernigotti, M. Capasso, and P. Davoli, Bakchias VI","Bacchias, 28/8/217",Bacchias, 28/8/217,Aur. Hieranoupis,,,,,['215-Ar-l 1-d1'],priest,3,0,0,Bakchias excavations B97/163/437; Figg. 1-3 in edition,"Complete. Neptechis, the mother of nos. 2-3, is stated to be the deceased wife of the declarant.",No
325,215,Ox,2,Laverna 12 (2001) 4-6,"Oxyrhynchos, 216/7",Oxyrhynchos, 216/7,Aur. Theon,,,,,['215-Ox-2-d1'],,1,0,0,"P.Paris MNE 11083 1/59, Frag. 1, Col. I; plate in ed., p. 11","Part of a tomos synkollesimos; only top preserved, with portion contain- ing declaration of persons lost.",No
326,215,Ox,3,Laverna 12 (2001) 6-8,"Oxyrhynchos, 216/7",Oxyrhynchos, 216/7,Aur. Herakleides alias Dionysios,,,,,['215-Ox-3-d1'],,1,0,0,"P.Paris MNE 11083 1/59, Frag. 1, Col. II; plate in ed., p. 11","Part of a tomos synkollesimos', only top preserved, with portion contain- ing declaration of persons lost.",No
327,215,Ox,4,Laverna 12 (2001) 8-10,"Oxyrhynchos, 216/7",Oxyrhynchos, 216/7,Aurelia,,,,,['215-Ox-4-d1'],,1,0,0,"P.Paris MNE 11083 1/59, Frag. 2; plate in ed., p. 11","Part of a tomos synkollesimos; only top preserved, with portion contain- ing declaration of persons lost.",No
328,215,Ox,5,Laverna 12 (2001) 13,"Oxyrhynchos, 216/7",Oxyrhynchos, 216/7,Name(s) not preserved; perhaps two sisters through guardian,,,,,['215-Ox-5-d1'],,0,0,0,"P.Paris MNE 11083 1/59, Frag. 3; plate in ed., p. 11","Part of a tomos synkollesimos; only top left part preserved, with portion containing declaration of persons lost.",No
329,229,Ar,3,BGUXl 2086.34-43,"Arsinoe, 230/1",Arsinoe, 230/1,Aur. Euporos,,,,,['229-Ar-3-d1'],,2,0,0,P.Berol. G 21653,Extract quoted in an epikrisis declaration. It is uncertain if the household included more persons than those listed above. Euporos files the declaration as guardian for a female minor.,No
330,243,Ox,4,APF 42 (1996) 201 ff.,"Oxyrhynchos, 244/245",Oxyrhynchos, 244/245,Aur. Serenos,,,,,['243-Ox-4-d1'],,0,0,0,"Greek Papyrological Society, OW 305; Abb. 32 in edition","Only the top center portion is preserved. The editor thinks that there was a second declarant, but he acknowledges that there is hardly space for one. The portion with the members of the household is lost.",No
